sample_id	group	treatment	dose	timepoint	sex	animal_id	age_at_treatment	weight_at_treatment	RIN	genotype	notes	project_id	sacrifice_batch	RNA_extraction_batch	filename	instrument	run	flow_cell	lane
63	psilo.high.7d.M.63	psilo.high.7d	psilocybin	1 mg / kg	7 day	M	63	8 weeks	26 grams	9.2	C57BL/6	NA	Psil1	3	4	Psi1_A63_High_Male	A00938	580	HTWCMDSX7	4
64	psilo.high.7d.M.64	psilo.high.7d	psilocybin	1 mg / kg	7 day	M	64	8 weeks	26 grams	9.4	C57BL/6	NA	Psil1	3	4	Psi1_A64_High_Male	A00938	580	HTWCMDSX7	4
65	psilo.high.7d.M.65	psilo.high.7d	psilocybin	1 mg / kg	7 day	M	65	8 weeks	26 grams	9.3	C57BL/6	NA	Psil1	3	4	Psi1_A65_High_Male	A00938	580	HTWCMDSX7	4
66	psilo.high.7d.F.66	psilo.high.7d	psilocybin	1 mg / kg	7 day	F	66	8 weeks	18 grams	9.4	C57BL/6	NA	Psil1	3	3	Psi1_A66_High_Female	A00938	580	HTWCMDSX7	4
67	psilo.high.7d.F.67	psilo.high.7d	psilocybin	1 mg / kg	7 day	F	67	8 weeks	18 grams	9.5	C57BL/6	NA	Psil1	3	3	Psi1_A67_High_Female	A00938	580	HTWCMDSX7	4
68	psilo.high.7d.F.68	psilo.high.7d	psilocybin	1 mg / kg	7 day	F	68	8 weeks	18 grams	9.4	C57BL/6	NA	Psil1	3	3	Psi1_A68_High_Female	A00938	580	HTWCMDSX7	4
69	psilo.high.7d.F.69	psilo.high.7d	psilocybin	1 mg / kg	7 day	F	69	8 weeks	18 grams	9.5	C57BL/6	NA	Psil1	3	3	Psi1_A69_High_Female	A00938	580	HTWCMDSX7	4
70	psilo.high.7d.F.70	psilo.high.7d	psilocybin	1 mg / kg	7 day	F	70	8 weeks	18 grams	9.4	C57BL/6	NA	Psil1	3	3	Psi1_A70_High_Female	A00938	580	HTWCMDSX7	4
71	psilo.low.7d.M.71	psilo.low.7d	psilocybin	0.25 mg / kg	7 day	M	71	8 weeks	26 grams	9.1	C57BL/6	NA	Psil1	3	3	Psi1_A71_Low_Male	A00938	580	HTWCMDSX7	4
72	psilo.low.7d.M.72	psilo.low.7d	psilocybin	0.25 mg / kg	7 day	M	72	8 weeks	26 grams	9.5	C57BL/6	NA	Psil1	3	3	Psi1_A72_Low_Male	A00938	580	HTWCMDSX7	4
73	psilo.low.7d.M.73	psilo.low.7d	psilocybin	0.25 mg / kg	7 day	M	73	8 weeks	26 grams	9.1	C57BL/6	NA	Psil1	3	3	Psi1_A73_Low_Male	A00938	580	HTWCMDSX7	4
74	psilo.low.7d.M.74	psilo.low.7d	psilocybin	0.25 mg / kg	7 day	M	74	8 weeks	26 grams	9.4	C57BL/6	NA	Psil1	3	3	Psi1_A74_Low_Male	A00938	580	HTWCMDSX7	4
75	psilo.low.7d.M.75	psilo.low.7d	psilocybin	0.25 mg / kg	7 day	M	75	8 weeks	26 grams	9.4	C57BL/6	NA	Psil1	3	3	Psi1_A75_Low_Male	A00938	580	HTWCMDSX7	4
76	psilo.low.7d.F.76	psilo.low.7d	psilocybin	0.25 mg / kg	7 day	F	76	8 weeks	18 grams	9.3	C57BL/6	NA	Psil1	3	3	Psi1_A76_Low_Female	A00938	580	HTWCMDSX7	4
77	psilo.low.7d.F.77	psilo.low.7d	psilocybin	0.25 mg / kg	7 day	F	77	8 weeks	18 grams	9.4	C57BL/6	NA	Psil1	3	2	Psi1_A77_Low_Female	A00938	580	HTWCMDSX7	4
78	psilo.low.7d.F.78	psilo.low.7d	psilocybin	0.25 mg / kg	7 day	F	78	8 weeks	18 grams	7	C57BL/6	NA	Psil1	3	2	Psi1_A78_Low_Female	A00938	580	HTWCMDSX7	4
79	psilo.low.7d.F.79	psilo.low.7d	psilocybin	0.25 mg / kg	7 day	F	79	8 weeks	18 grams	9.3	C57BL/6	NA	Psil1	3	2	Psi1_A79_Low_Female	A00938	580	HTWCMDSX7	4
80	psilo.low.7d.F.80	psilo.low.7d	psilocybin	0.25 mg / kg	7 day	F	80	8 weeks	18 grams	9.6	C57BL/6	NA	Psil1	3	2	Psi1_A80_Low_Female	A00938	580	HTWCMDSX7	4
81	sal.7d.M.81	sal.7d	saline	0.9%	7 day	M	81	8 weeks	26 grams	9.4	C57BL/6	NA	Psil1	3	1	Psi1_A81_NS_Male	A00938	580	HTWCMDSX7	4
82	sal.7d.M.82	sal.7d	saline	0.9%	7 day	M	82	8 weeks	26 grams	9.3	C57BL/6	NA	Psil1	3	2	Psi1_A82_NS_Male	A00938	580	HTWCMDSX7	4
83	sal.7d.M.83	sal.7d	saline	0.9%	7 day	M	83	8 weeks	26 grams	9.1	C57BL/6	NA	Psil1	3	2	Psi1_A83_NS_Male	A00938	580	HTWCMDSX7	4
84	sal.7d.M.84	sal.7d	saline	0.9%	7 day	M	84	8 weeks	26 grams	9.4	C57BL/6	NA	Psil1	3	2	Psi1_A84_NS_Male	A00938	580	HTWCMDSX7	4
85	sal.7d.M.85	sal.7d	saline	0.9%	7 day	M	85	8 weeks	26 grams	9.4	C57BL/6	NA	Psil1	3	2	Psi1_A85_NS_Male	A00938	580	HTWCMDSX7	4
86	sal.7d.F.86	sal.7d	saline	0.9%	7 day	F	86	8 weeks	18 grams	9.4	C57BL/6	NA	Psil1	3	1	Psi1_A86_NS_Female	A00938	580	HTWCMDSX7	4
87	sal.7d.F.87	sal.7d	saline	0.9%	7 day	F	87	8 weeks	18 grams	9.3	C57BL/6	NA	Psil1	3	3	Psi1_A87_NS_Female	A00938	580	HTWCMDSX7	4
88	sal.7d.F.88	sal.7d	saline	0.9%	7 day	F	88	8 weeks	18 grams	9.3	C57BL/6	NA	Psil1	3	3	Psi1_A88_NS_Female	A00938	580	HTWCMDSX7	4
89	sal.7d.F.89	sal.7d	saline	0.9%	7 day	F	89	8 weeks	18 grams	9.2	C57BL/6	NA	Psil1	3	3	Psi1_A89_NS_Female	A00938	580	HTWCMDSX7	4
90	sal.7d.F.90	sal.7d	saline	0.9%	7 day	F	90	8 weeks	18 grams	9.1	C57BL/6	NA	Psil1	3	3	Psi1_A90_NS_Female	A00938	580	HTWCMDSX7	4
